Register Number,Exam,OC,LOT,MOT,HOT,TOTAL Not needed for Calc,,,,,,,,,,,,,,,,,,,Total No. of Students,,,,58
23MCA056,CIA - I,,18,31,8,57,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,18,15.5,0,33.5,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,36,46.5,8,90.5,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,21,31,8,60,,,,,,,,,,,,,,,,,,,,,,,
23MCA057,CIA - I,,17,26,9,52,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,18,14,4,36,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,35,40,13,88,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,31,8,61,,,,,,,,,,,,,,,,,,,,,,,
23MCA058,CIA - I,,17,23,8,48,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,18,12,0,30,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,35,35,8,78,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,18,20,0,38,,,,,,,,,,,,,,,,,,,,,,,
24MCA059,CIA - I,,16,25,8,49,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,9,13,0,22,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,25,38,8,71,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,30,0,52,,,,,,,,,,,,,,,,,,,,,,,
23MCA060,CIA - I,,18,24,0,42,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,8,13,0,21,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,26,37,0,63,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,26,0,48,,,,,,,,,,,,,,,,,,,,,,,
24MCA062,CIA - I,,18,10,4,32,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,15,19,6,40,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,33,29,10,72,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,21,31,8,60,,,,,,,,,,,,,,,,,,,,,,,
23MCA063,CIA - I,,20,32,2,54,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,19,17,6,42,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,39,49,8,96,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,23,31,8,62,,,,,,,,,,,,,,,,,,,,,,,
23MCA064,CIA - I,,22,37,10,69,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,24,23,6,53,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,46,60,16,122,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,23,29,7,59,,,,,,,,,,,,,,,,,,,,,,,
23MCA065,CIA - I,,16,28,4,48,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,17,18,7,42,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,33,46,11,90,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,31,8,61,,,,,,,,,,,,,,,,,,,,,,,
23MCA066,CIA - I,,13,20,4,37,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,16,19,7,42,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,29,39,11,79,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,30,8,60,,,,,,,,,,,,,,,,,,,,,,,
23MCA067,CIA - I,,16,23,4,43,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,17,18,7,42,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,33,41,11,85,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,19,7,48,,,,,,,,,,,,,,,,,,,,,,,
23MCA069,CIA - I,,15,23,8,46,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,21,22,7,50,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,36,45,15,96,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,18,28,7,53,,,,,,,,,,,,,,,,,,,,,,,
23MCA070,CIA - I,,15,16,8,39,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,19,6,45,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,35,35,14,84,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,19,19,7,45,,,,,,,,,,,,,,,,,,,,,,,
23MCA071,CIA - I,,13,18,0,31,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,13,18,0,31,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,17,15,5,37,,,,,,,,,,,,,,,,,,,,,,,
23MCA072,CIA - I,,11,24,2,37,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,21,26,0,47,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,32,50,2,84,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,19,26,7,52,,,,,,,,,,,,,,,,,,,,,,,
23MCA073,CIA - I,,12,20,3,35,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,21,0,41,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,32,41,3,76,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,18,19,7,44,,,,,,,,,,,,,,,,,,,,,,,
23MCA074,CIA - I,,19,31,8,58,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,27,4,51,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
