Register Number,Exam,,LOT,MOT,HOT,TOTAL Not needed for Calculation,,,,,,,
23UCA001,CIA - I,,29,36,10,75.00,,,,,,,
,CIA - II,,AA,AA,AA,0.00,,Absent =AA,,,,,
,Ass - I,3,5,,,5.00,,,,,,,
,Ass - II,3,5,,,5.00,,,,,,,
,Total,,39,36,10,85.00,,,,,,,
,ESE,,29,36,10,75.00,,,,,,,
23UCA002,CIA - I,,17,21,6,44.00,,,,,,,
,CIA - II,,19,23,6,48.00,,,,,,,
,Ass - I,2,3.333333333,,,3.33,,,,,,,
,Ass - II,1,1.666666667,,,1.67,,,,,,,
,Total,,41,44,12,97.00,,,,,,,
,ESE,,18,26,5,49.00,,,,,,,
23UCA003,CIA - I,,21,30,8,59.00,,,,,,,
,CIA - II,,24,31,7,62.00,,,,,,,
,Ass - I,1,1.666666667,,,1.67,,,,,,,
,Ass - II,2,3.333333333,,,3.33,,,,,,,
,Total,,50,61,15,126.00,,,,,,,
,ESE,,24,29,8,61.00,,,,,,,
23UCA004,CIA - I,,20,28,6,54.00,,,,,,,
,CIA - II,,19,27,5,51.00,,,,,,,
,Ass - I,1,1.666666667,,,1.67,,,,,,,
,Ass - II,1,1.666666667,,,1.67,,,,,,,
,Total,,42.33333333,55,11,108.33,,,,,,,
,ESE,,23,15,4,42.00,,,,,,,
23UCA005,CIA - I,,25,22,4,51.00,,,,,,,
,CIA - II,,23,20,5,48.00,,,,,,,
,Ass - I,2,3.333333333,,,3.33,,,,,,,
,Ass - II,2,3.333333333,,,3.33,,,,,,,
,Total,,54.66666667,42,9,105.67,,,,,,,
,ESE,,9,21,6,36.00,,,,,,,
23UCA006,CIA - I,,9,16,4,29.00,,,,,,,
,CIA - II,,11,14,3,28.00,,,,,,,
,Ass - I,2,3.333333333,,,3.33,,,,,,,
,Ass - II,0,0,,,0.00,,,,,,,
,Total,,23.33333333,30,7,60.33,,,,,,,
,ESE,,19,18,7,44.00,,,,,,,
23UCA007,CIA - I,,10,9,5,24.00,,,,,,,
,CIA - II,,9,4,4,17.00,,,,,,,
,Ass - I,1,1.666666667,,,1.67,,,,,,,
,Ass - II,1,1.666666667,,,1.67,,,,,,,
,Total,,22.33333333,13,9,44.33,,,,,,,
,ESE,,12,26,4,42.00,,,,,,,
23UCA008,CIA - I,,7,6,3,16.00,,,,,,,
,CIA - II,,6,5,0,11.00,,,,,,,
,Ass - I,3,5,,,5.00,,,,,,,
,Ass - II,2,3.333333333,,,3.33,,,,,,,
,Total,,21.33333333,11,3,35.33,,,,,,,
,ESE,,19,26,7,52.00,,,,,,,
23UCA009,CIA - I,,18,18,6,42.00,,,,,,,
,CIA - II,,21,20,4,45.00,,,,,,,
,Ass - I,0,0,,,0.00,,,,,,,
,Ass - II,2,3.333333333,,,3.33,,,,,,,
,Total,,42.33333333,38,10,90.33,,,,,,,
,ESE,,20,19,6,45.00,,,,,,,
23UCA010,CIA - I,,23,26,4,53.00,,,,,,,
,CIA - II,,20,29,5,54.00,,,,,,,
,Ass - I,1,1.666666667,,,1.67,,,,,,,
,Ass - II,2,3.333333333,,,3.33,,,,,,,
,Total,,48,55,9,112.00,,,,,,,
,ESE,,25,28,4,57.00,,,,,,,
23UCA011,CIA - I,,19,23,7,49.00,,,,,,,
,CIA - II,,17,27,6,50.00,,,,,,,
,Ass - I,2,3.333333333,,,3.33,,,,,,,
,Ass - II,3,5,,,5.00,,,,,,,
,Total,,44.33333333,50,13,107.33,,,,,,,
,ESE,,21,27,5,53.00,,,,,,,
23UCA012,CIA - I,,24,31,8,63.00,,,,,,,
,CIA - II,,26,22,7,55.00,,,,,,,
,Ass - I,2,3.333333333,,,3.33,,,,,,,
,Ass - II,1,1.666666667,,,1.67,,,,,,,
,Total,,55,53,15,123.00,,,,,,,
,ESE,,21,20,8,49.00,,,,,,,
23UCA013,CIA - I,,16,18,5,39.00,,,,,,,
,CIA - II,,10,23,7,40.00,,,,,,,
,Ass - I,2,3.333333333,,,3.33,,,,,,,
,Ass - II,2,3.333333333,,,3.33,,,,,,,
,Total,,32.66666667,41,12,85.67,,,,,,,
,ESE,,23,22,5,50.00,,,,,,,
23UCA014,CIA - I,,7,14,7,28.00,,,,,,,
,CIA - II,,15,12,0,27.00,,,,,,,
,Ass - I,1,1.666666667,,,1.67,,,,,,,
,Ass - II,1,1.666666667,,,1.67,,,,,,,
,Total,,25.33333333,26,7,58.33,,,,,,,
,ESE,,12,18,0,30.00,,,,,,,
23UCA015,CIA - I,,14,27,6,47.00,,,,,,,
,CIA - II,,23,21,3,47.00,,,,,,,
,Ass - I,3,5,,,5.00,,,,,,,
,Ass - II,1,1.666666667,,,1.67,,,,,,,
,Total,,43.66666667,48,9,100.67,,,,,,,
,ESE,,28,25,4,57.00,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
