Register Number,Exam,OB,LOT,MOT,HOT,TOTAL Not needed for Calc,,,,,,
23MCA093,CIA - I,,17,32,7,56,,,,,,
,CIA - II,,16,37,8,61,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,43,69,15,127,,,,,,
,ESE,,,,,0,,,,,,
23MCA094,CIA - I,,25,28,7,60,,,,,,
,CIA - II,,12,31,7,50,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,47,59,14,120,,,,,,
,ESE,,,,,0,,,,,,
23MCA095,CIA - I,,23,32,8,63,,,,,,
,CIA - II,,0,0,0,0,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,33,32,8,73,,,,,,
,ESE,,,,,0,,,,,,
23MCA096,CIA - I,,23,31,7,61,,,,,,
,CIA - II,,22,42,0,64,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,55,73,7,135,,,,,,
,ESE,,,,,0,,,,,,
23MCA097,CIA - I,,21,32,5,58,,,,,,
,CIA - II,,20,34,8,62,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,51,66,13,130,,,,,,
,ESE,,,,,0,,,,,,
23MCA098,CIA - I,,18,33,9,60,,,,,,
,CIA - II,,18,27,8,53,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,46,60,17,123,,,,,,
,ESE,,,,,0,,,,,,
23MCA099,CIA - I,,17,11,2,30,,,,,,
,CIA - II,,21,32,8,61,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,48,43,10,101,,,,,,
,ESE,,,,,0,,,,,,
23MCA100,CIA - I,,16,32,9,57,,,,,,
,CIA - II,,14,34,8,56,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,40,66,17,123,,,,,,
,ESE,,,,,0,,,,,,
23MCA101,CIA - I,,19,25,7,51,,,,,,
,CIA - II,,18,19,4,41,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,47,44,11,102,,,,,,
,ESE,,,,,0,,,,,,
23MCA102,CIA - I,,14,26,7,47,,,,,,
,CIA - II,,14,36,7,57,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,38,62,14,114,,,,,,
,ESE,,,,,0,,,,,,
23MCA103,CIA - I,,24,35,9,68,,,,,,
,CIA - II,,21,37,9,67,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,55,72,18,145,,,,,,
,ESE,,,,,0,,,,,,
23MCA104,CIA - I,,19,30,7,56,,,,,,
,CIA - II,,14,32,8,54,,,,,,
,Ass - I,3,5,,,5,,,,,,
